time	V(n005)
Step Information: L=25m Duty=3m  (Run: 21/44)
0.000000000000000e+00	2.702515e-11
2.397176361492587e-09	1.017318e-04
7.191529084477760e-09	3.058813e-04
1.069083481919537e-08	4.496566e-04
1.420203532640635e-08	5.849199e-04
2.009800974798505e-08	7.959679e-04
2.748647203636503e-08	1.035509e-03
3.848789570750667e-08	1.346321e-03
5.285709516801053e-08	1.682423e-03
7.402637233972290e-08	2.062640e-03
1.037829612700325e-07	2.430458e-03
1.500670263785645e-07	2.761821e-03
2.202262870593975e-07	2.988465e-03
3.127563992936025e-07	3.093092e-03
3.457902385799877e-07	3.163114e-03
3.676990781595422e-07	3.493258e-03
3.856556204052865e-07	4.449739e-03
3.961798356287571e-07	5.785397e-03
4.056888482310405e-07	7.719212e-03
4.148594589935706e-07	9.745410e-03
4.284427994247480e-07	1.196305e-02
4.417263817866474e-07	1.299230e-02
4.559255067939326e-07	1.335092e-02
4.722789292903144e-07	1.353335e-02
5.049857742830781e-07	1.373221e-02
5.592977193246904e-07	1.385789e-02
5.673776111536459e-07	1.383152e-02
5.835373948115570e-07	1.386918e-02
6.158569621275960e-07	1.459725e-02
6.398017004833213e-07	1.549045e-02
6.684365496101557e-07	1.666012e-02
6.910454744685213e-07	1.664481e-02
6.988205038926248e-07	1.611411e-02
7.062063637260779e-07	1.566784e-02
7.086699974304545e-07	1.541520e-02
7.096172691260002e-07	1.537439e-02
7.099533066510632e-07	1.540046e-02
7.102281728305765e-07	1.538383e-02
7.105536707708096e-07	1.534750e-02
7.110817989038325e-07	1.531975e-02
7.118951084014898e-07	1.527114e-02
7.135217273968042e-07	1.518003e-02
7.155086924339697e-07	1.506939e-02
7.251672293111591e-07	1.455819e-02
7.365364429164425e-07	1.400045e-02
7.485500281780195e-07	1.346294e-02
7.725771987011736e-07	1.252254e-02
8.022585364024070e-07	1.157665e-02
8.616212118050907e-07	1.012102e-02
8.992485410305902e-07	9.420224e-03
9.247453415489170e-07	9.062529e-03
9.490063989632622e-07	8.776391e-03
9.564208575871518e-07	8.701170e-03
9.840270003922541e-07	8.459109e-03
9.999999999999159e-07	8.339615e-03
1.004791899882236e-06	8.078822e-03
1.021250464363580e-06	7.252816e-03
1.038190557898317e-06	6.508842e-03
1.066380656775069e-06	5.472592e-03
1.122760854528572e-06	3.899663e-03
1.190864416956506e-06	2.643130e-03
1.301883608550254e-06	1.510628e-03
1.424954772369759e-06	9.407310e-04
1.613381909608674e-06	6.902514e-04
1.866406526794756e-06	6.909049e-04
2.364314803592407e-06	9.020795e-04
3.266992696710457e-06	1.333474e-03
5.072348482946555e-06	2.198340e-03
8.683060055418752e-06	3.924468e-03
1.590448320036293e-05	7.364761e-03
3.034732949025129e-05	1.420532e-02
6.940982949025132e-05	3.247410e-02
1.280035794902514e-04	5.919841e-02
2.061285794902514e-04	9.358495e-02
3.037848294902515e-04	1.346455e-01
4.209723294902516e-04	1.812381e-01
5.576910794902518e-04	2.321191e-01
7.139410794902519e-04	2.859985e-01
9.092535794902521e-04	3.474618e-01
1.124097329490252e-03	4.082234e-01
1.378003579490252e-03	4.717885e-01
1.670972329490253e-03	5.354058e-01
2.003003579490253e-03	5.966846e-01
2.393628579490253e-03	6.564292e-01
2.842847329490254e-03	7.116581e-01
3.000460907766037e-03	7.281727e-01
3.001000000000000e-03	7.282268e-01
3.001053909223396e-03	7.265000e-01
3.001161727670189e-03	7.240834e-01
3.001337051342042e-03	7.220473e-01
3.001450346010238e-03	7.214848e-01
3.001529470197850e-03	7.212403e-01
3.001580968921361e-03	7.207955e-01
3.001609501611197e-03	7.199253e-01
3.001636597351652e-03	7.185631e-01
3.001662840191867e-03	7.171624e-01
3.001688289825297e-03	7.157003e-01
3.001739189092158e-03	7.113773e-01
3.001775871356889e-03	7.043803e-01
3.001801305778648e-03	6.924441e-01
3.001819572215595e-03	5.819916e-01
3.001829961840826e-03	3.667950e-01
3.001830103937266e-03	3.607374e-01
3.001830956515903e-03	3.150648e-01
3.001831916995350e-03	2.711212e-01
3.001833328437727e-03	2.175877e-01
3.001836151322481e-03	1.407593e-01
3.001841797091990e-03	5.965910e-02
3.001853088631006e-03	4.931929e-03
3.001863958174407e-03	-5.600624e-03
3.001885697261209e-03	-5.773467e-03
3.001923516363355e-03	-4.584103e-03
3.001931635011374e-03	-4.396688e-03
3.001947872307413e-03	-4.135658e-03
3.001967525407922e-03	-3.859903e-03
3.002000000000000e-03	-3.364854e-03
3.002003247459208e-03	-3.313292e-03
3.002009742377624e-03	-3.088992e-03
3.002022732214455e-03	-2.593043e-03
3.002048711888117e-03	-1.821836e-03
3.002081333252046e-03	-1.142289e-03
3.002113299915337e-03	-7.152387e-04
3.002147856345215e-03	-4.302840e-04
3.002179456833187e-03	-2.691869e-04
3.002212707700148e-03	-1.651789e-04
3.002244406539130e-03	-1.034733e-04
